# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896476
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    1384.944,   109,  Arrival,before,   0,   0,   0,   0,   0
    1384.944,   109,  Arrival, after,   2,   0,   0,   1,   0
    1385.462,   113,Finish(1),before,   1,   0,   0,   1,   0
    1385.462,   113,Finish(1), after,   2,   0,   0,   0,   1
    1406.301,   114,Finish(2),before,   1,   0,   0,   0,   1
    1406.301,   114,Finish(2), after,   1,   0,   0,   0,   0
    1429.169,   112,  Arrival,before,   0,   0,   0,   0,   0
    1429.169,   112,  Arrival, after,   2,   0,   0,   1,   0
    1435.261,   116,Finish(1),before,   1,   0,   0,   1,   0
    1435.261,   116,Finish(1), after,   2,   0,   0,   0,   1
    1450.627,   117,Finish(2),before,   1,   0,   0,   0,   1
    1450.627,   117,Finish(2), after,   1,   0,   0,   0,   0
    1455.270,   115,  Arrival,before,   0,   0,   0,   0,   0
    1455.270,   115,  Arrival, after,   2,   0,   0,   1,   0
    1480.218,   119,Finish(1),before,   1,   0,   0,   1,   0
    1480.218,   119,Finish(1), after,   2,   0,   0,   0,   1
    1492.095,   118,  Arrival,before,   1,   0,   0,   0,   1
    1492.095,   118,  Arrival, after,   3,   0,   0,   1,   1
    1495.119,   120,Finish(2),before,   2,   0,   0,   1,   1
    1495.119,   120,Finish(2), after,   2,   0,   0,   1,   0
    1500.844,   122,Finish(1),before,   1,   0,   0,   1,   0
    1500.844,   122,Finish(1), after,   2,   0,   0,   0,   1
    1517.043,   123,Finish(2),before,   1,   0,   0,   0,   1
    1517.043,   123,Finish(2), after,   1,   0,   0,   0,   0
    1539.451,   121,  Arrival,before,   0,   0,   0,   0,   0
    1539.451,   121,  Arrival, after,   2,   0,   0,   1,   0
    1550.459,   124,  Arrival,before,   1,   0,   0,   1,   0
    1550.459,   124,  Arrival, after,   2,   1,   0,   1,   0
    1570.252,   125,Finish(1),before,   1,   1,   0,   1,   0
    1570.252,   125,Finish(1), after,   3,   0,   0,   1,   1
    1580.237,   127,Finish(1),before,   2,   0,   0,   1,   1
    1580.237,   127,Finish(1), after,   2,   0,   1,   0,   1
    1587.545,   128,Finish(2),before,   1,   0,   1,   0,   1
    1587.545,   128,Finish(2), after,   2,   0,   0,   0,   1
    1597.057,   126,  Arrival,before,   1,   0,   0,   0,   1
    1597.057,   126,  Arrival, after,   3,   0,   0,   1,   1
    1602.508,   129,Finish(2),before,   2,   0,   0,   1,   1
    1602.508,   129,Finish(2), after,   2,   0,   0,   1,   0
    1617.440,   131,Finish(1),before,   1,   0,   0,   1,   0
    1617.440,   131,Finish(1), after,   2,   0,   0,   0,   1
    1621.491,   130,  Arrival,before,   1,   0,   0,   0,   1
    1621.491,   130,  Arrival, after,   3,   0,   0,   1,   1
    1632.144,   133,  Arrival,before,   2,   0,   0,   1,   1
    1632.144,   133,  Arrival, after,   3,   1,   0,   1,   1
    1636.813,   132,Finish(2),before,   2,   1,   0,   1,   1
    1636.813,   132,Finish(2), after,   2,   1,   0,   1,   0
    1640.294,   134,Finish(1),before,   1,   1,   0,   1,   0
    1640.294,   134,Finish(1), after,   3,   0,   0,   1,   1
    1644.323,   136,Finish(1),before,   2,   0,   0,   1,   1
    1644.323,   136,Finish(1), after,   2,   0,   1,   0,   1
    1652.885,   137,Finish(2),before,   1,   0,   1,   0,   1
    1652.885,   137,Finish(2), after,   2,   0,   0,   0,   1
    1667.101,   138,Finish(2),before,   1,   0,   0,   0,   1
    1667.101,   138,Finish(2), after,   1,   0,   0,   0,   0
    1668.937,   135,  Arrival,before,   0,   0,   0,   0,   0
    1668.937,   135,  Arrival, after,   2,   0,   0,   1,   0
